"","TP","FN","TN","FP","accuracy","pgood","pbad","FPR","TPR","TNR","MCC","threshold","AUC","folds"
"DT_raw",4303,1154,15226,3559,80.56,54.75,92.95,18.94,78.85,81.06,0.53,0.22,NA,6
"DT_preprocess",3646,1811,15846,2939,80.4,55.37,89.74,15.64,66.81,84.35,0.48,0.1,0.79,6
